Date,Open,High,Low,Close,Adjusted,Volume,log_adjusted,log_close,cc_ret,return_pct,gk_vol
2015-01-05,20.139999,20.18,19.780001,19.85,18.902292,5008400,2.9392831845542737,2.9882040071331994,-0.014007137223618571,-1.400713722361857,0.013131011952052215
2015-01-06,19.879999,19.969999,19.360001,19.48,18.549953,6387500,2.920467255357512,2.969388298214389,-0.018815929196761783,-1.8815929196761783,0.021611039557798133
2015-01-07,19.59,19.74,18.860001,19.059999,18.150005,16560300,2.8986708361929154,2.9475918457601575,-0.021796419164596514,-2.1796419164596514,0.03315557870404047
2015-01-08,19.25,19.49,19.139999,19.25,18.330935,17656100,2.9085900698250984,2.9575110607337933,0.009919233632182944,0.9919233632182944,0.016610444915637703
2015-01-09,19.280001,19.35,18.860001,18.9,17.997646,8727900,2.890240971566228,2.9391619220655967,-0.018349098258870544,-1.8349098258870544,0.01595590712239711
2015-01-12,19.08,19.129999,18.610001,18.860001,17.959558,8215800,2.8881224523262277,2.9370433302275796,-0.0021185192400001718,-0.21185192400001718,0.0226159364663492
2015-01-13,19.120001,19.15,18.43,18.559999,17.67388,6444100,2.8720878434382717,2.9210086734787426,-0.016034608887955937,-1.6034608887955937,0.025206662164233024
2015-01-14,18.73,19.02,18.559999,18.93,18.026215,9041300,2.891827087279333,2.9407479652212314,0.01973924384106107,1.9739243841061072,0.02008257189890036
2015-01-15,18.91,19.0,18.52,18.549999,17.664358,6394400,2.8715489370994525,2.920469735145087,-0.020278150179880328,-2.0278150179880328,0.016347362298345217
2015-01-16,19.620001,20.299999,19.58,20.25,19.283194,19269600,2.959233939362066,3.0081547935525483,0.08768500226261366,8.768500226261366,0.03903053009189796
2015-01-20,20.34,20.34,19.799999,20.219999,19.254623,8545300,2.9577511877451506,3.00667216413634,-0.0014827516169155786,-0.14827516169155786,0.02283456286305442
2015-01-21,20.110001,20.18,19.93,20.1,19.140352,7115500,2.951798776660297,3.0007198150650303,-0.005952411084853448,-0.5952411084853448,0.011152580477387056
2015-01-22,20.16,20.6,20.049999,20.59,19.606958,7917100,2.9758845032388805,3.0248055210396982,0.024085726578583433,2.4085726578583433,0.016837813520644243
2015-01-23,20.59,20.83,20.52,20.65,19.664093,5914300,2.978794282267337,3.027715319407042,0.0029097790284562386,0.29097790284562386,0.012631866904636793
2015-01-26,20.65,20.870001,20.52,20.84,19.845022,5989800,2.987953194825999,3.0368742168851663,0.009158912558662191,0.9158912558662191,0.012692685710534498
2015-01-27,20.700001,20.73,20.25,20.469999,19.492687,5033800,2.970039369588973,3.0189603508212186,-0.017913825237025893,-1.7913825237025893,0.018622859387641567
2015-01-28,20.73,20.959999,20.34,20.67,19.683138,10122000,2.979762330132625,3.028683373693677,0.009722960543651737,0.9722960543651737,0.026667194517212438
2015-01-29,20.6,20.91,20.34,20.75,19.759319,6818300,2.9836252281630866,3.0325462466767075,0.0038628980304618032,0.3862898030461803,0.02305913640161452
2015-01-30,20.610001,21.190001,20.459999,20.9,19.902159,10933600,2.9908282183078767,3.039749158970765,0.007202990144790089,0.7202990144790089,0.028325899503291056
2015-02-02,20.9,21.190001,20.379999,21.129999,20.121176,9339200,3.0017727928276194,3.0506937843018878,0.010944574519742734,1.0944574519742734,0.03235286038773479
2015-02-03,21.200001,21.77,21.15,21.66,20.625874,9711000,3.026546307080493,3.0754672415728446,0.024773514252873774,2.4773514252873774,0.01870785877423859
2015-02-04,21.6,21.74,21.370001,21.52,20.492556,7529100,3.0200616982484028,3.0689827352935835,-0.006484608832090455,-0.6484608832090455,0.014487866214992559
2015-02-05,21.67,21.9,21.559999,21.82,20.778231,12289500,3.0339058521146955,3.0828269804049246,0.013844153866292785,1.3844153866292785,0.012999571418489623
2015-02-06,20.5,22.34,20.280001,22.110001,21.054388,34843700,3.0471089944614524,3.0960300400977574,0.013203142346756902,1.3203142346756902,0.07055868266641323
2015-02-09,22.01,22.18,21.74,22.040001,20.987732,10617700,3.04393807654149,3.0928590296567635,-0.0031709179199626014,-0.31709179199626014,0.01731451758997871
2015-02-10,22.07,22.34,21.889999,22.280001,21.21627,11818100,3.054768340166818,3.1036894599423857,0.01083026362532813,1.083026362532813,0.01587322239351312
2015-02-11,22.33,22.719999,22.200001,22.66,21.578129,10171900,3.071680255422521,3.12060125559986,0.016911915255703125,1.6911915255703125,0.01643651531941926
2015-02-12,22.709999,23.15,22.709999,22.940001,21.844761,8652900,3.0839611216248493,3.1328821552932027,0.012280866202328156,1.2280866202328156,0.014613969772722467
2015-02-13,22.940001,23.110001,22.77,23.110001,22.006643,5291200,3.0913443623246715,3.1402654675575996,0.007383240699822213,0.7383240699822213,0.01139731305758548
2015-02-17,23.049999,23.51,22.969999,23.49,22.368504,6657700,3.107653897986395,3.1565747986708215,0.01630953566172355,1.630953566172355,0.013867445127737368
2015-02-18,23.41,23.57,23.299999,23.41,22.29232,6257100,3.1042422245297927,3.1531632815028194,-0.0034116734566023155,-0.34116734566023155,0.010056133927031061
2015-02-19,23.290001,23.35,23.0,23.32,22.206619,7140400,3.100390397592568,3.1493113614822916,-0.003851826937224523,-0.3851826937224523,0.013296296113893847
2015-02-20,23.360001,23.360001,23.09,23.309999,22.197098,5211500,3.099961559612815,3.148882410147622,-0.0004288379797530162,-0.04288379797530162,0.009913852853496259
2015-02-23,23.34,23.450001,23.110001,23.370001,22.254234,3972700,3.102532282643829,3.1514531913406674,0.0025707230310136886,0.25707230310136886,0.012484023071539724
2015-02-24,23.299999,23.65,23.209999,23.540001,22.416117,3756800,3.109780209067111,3.1587011443130133,0.007247926423282092,0.7247926423282092,0.014163534464013972
2015-02-25,23.209999,23.49,23.200001,23.459999,22.339933,5441800,3.1063757945318122,3.1552968005995825,-0.0034044145352987165,-0.34044145352987165,0.010929341588436475
2015-02-26,23.299999,23.459999,23.09,23.35,22.235188,6725100,3.1016760790652107,3.150596984114906,-0.004699715466601528,-0.46997154666015284,0.014107165080618864
2015-02-27,23.360001,23.51,23.209999,23.32,22.206619,4485200,3.100390397592568,3.1493113614822916,-0.0012856814726425192,-0.12856814726425192,0.010897243872248967
2015-03-02,23.32,23.35,23.08,23.25,22.139961,7236600,3.097384165761324,3.1463051320333655,-0.003006231831244044,-0.3006231831244044,0.009696756170921226
2015-03-03,23.25,23.26,23.049999,23.1,21.997124,5073700,3.090911717540034,3.139832617527748,-0.006472448221290339,-0.6472448221290339,0.006010658201913205
2015-03-04,23.01,23.1,22.709999,22.93,21.835241,5290200,3.0835252242020084,3.132446096869813,-0.007386493338025435,-0.7386493338025435,0.014511072619711502
2015-03-05,22.91,23.370001,22.9,23.290001,22.178051,5925900,3.0991031061045367,3.1480241268331315,0.01557788190252829,1.557788190252829,0.01212410120241893
2015-03-06,23.120001,23.34,22.969999,23.07,21.968554,4649100,3.08961206720727,3.138533072185662,-0.009491038897266435,-0.9491038897266435,0.014264024995484171
2015-03-09,23.059999,23.360001,23.01,23.32,22.206619,5642300,3.100390397592568,3.1493113614822916,0.010778330385297963,1.0778330385297963,0.009723834814710928
2015-03-10,23.200001,23.200001,22.620001,22.74,21.654312,5722700,3.075204603208292,3.12412548832239,-0.02518579438427615,-2.518579438427615,0.015769290674260642
2015-03-11,22.67,22.9,22.440001,22.809999,21.720968,3627200,3.0782780612917984,3.1271989924558747,0.003073458083506342,0.3073458083506342,0.01681470944746168
2015-03-12,23.030001,23.280001,22.77,22.790001,21.701923,6279800,3.077400874131635,3.1263218871364864,-0.000877187160163384,-0.0877187160163384,0.018168882742726048
2015-03-13,22.66,23.07,22.66,22.99,21.892372,5055700,3.08613826564598,3.1350593387750902,0.008737391514344939,0.8737391514344939,0.01128177146921255
2015-03-16,23.02,23.27,22.99,23.18,22.073305,3926600,3.094368959850046,3.1432898379116057,0.00823069420406597,0.8230694204065969,0.008956821053024281
2015-03-17,23.030001,23.209999,22.950001,23.110001,22.006643,3781900,3.0913443623246715,3.1402654675575996,-0.0030245975253744284,-0.30245975253744284,0.01005145363319107
2015-03-18,23.0,23.690001,22.950001,23.58,22.454205,4476900,3.1114779017713436,3.160398895109225,0.020133539446672177,2.0133539446672177,0.01972120955430177
2015-03-19,23.6,23.629999,23.07,23.15,22.044735,4847100,3.09307379787124,3.1419947805322432,-0.018404103900103497,-1.8404103900103497,0.014434291053931257
2015-03-20,23.4,23.49,23.25,23.42,22.301846,6118300,3.104669455309034,3.1535903581695712,0.011595657437793783,1.1595657437793783,0.01089009235594614
2015-03-23,23.389999,23.440001,23.120001,23.18,22.073305,4803200,3.094368959850046,3.1432898379116057,-0.010300495458988035,-1.0300495458988035,0.009591742536068166
2015-03-24,23.209999,23.42,23.0,23.18,22.073305,4808000,3.094368959850046,3.1432898379116057,0.0,0.0,0.01544559114015848
2015-03-25,23.16,23.219999,22.67,22.700001,21.61622,6718100,3.073443958812239,3.1223649685402193,-0.020925001037806812,-2.092500103780681,0.013773182467302062
2015-03-26,22.459999,22.58,22.309999,22.48,21.625841,5436700,3.07388894223515,3.1126260250254902,0.0004449834229109939,0.04449834229109939,0.012092313482029184
2015-03-27,22.48,22.809999,22.299999,22.76,21.895201,3314500,3.086267480389347,3.1250046092581303,0.012378538154196761,1.237853815419676,0.016911483150977517
2015-03-30,22.83,23.200001,22.83,23.02,22.145323,3791700,3.097626322954048,3.1363634032937364,0.0113588425647011,1.13588425647011,0.012393485945377687
2015-03-31,22.870001,22.9,22.5,22.73,21.866339,5902500,3.0849484224135635,3.123685637864452,-0.012677900540484455,-1.2677900540484455,0.014886543775698088
2015-04-01,22.73,22.780001,22.280001,22.43,21.577742,4826800,3.0716623204351814,3.110399348532117,-0.013286101978382092,-1.3286101978382092,0.01608778711161508
2015-04-02,22.469999,22.82,22.42,22.639999,21.779758,2873600,3.0809810063319745,3.1197182091653697,0.009318685896793077,0.9318685896793077,0.01404632621971976
2015-04-06,22.530001,22.85,22.43,22.67,21.80862,3229700,3.082305304484023,3.1210424645194377,0.0013242981520487085,0.13242981520487085,0.015425520229555041
2015-04-07,22.559999,23.030001,22.51,22.77,21.904821,2840100,3.0867067495821656,3.125443880075648,0.0044014450981424424,0.44014450981424424,0.018472383777924144
2015-04-08,22.76,23.07,22.67,22.959999,22.087603,5221100,3.0950165009060226,3.133753527897358,0.008309751323857029,0.8309751323857029,0.013399614919478508
2015-04-09,22.9,23.049999,22.75,23.0,22.126081,3326900,3.0967570484575053,3.1354942159291497,0.001740547551482674,0.1740547551482674,0.010822057822523557
2015-04-10,23.09,23.09,22.799999,22.93,22.058744,3310200,3.093709076574362,3.132446096869813,-0.003047971883143319,-0.3047971883143319,0.009742594010140613
2015-04-13,22.85,23.030001,22.780001,22.790001,21.924059,1912400,3.087584618295009,3.1263218871364864,-0.006124458279352929,-0.6124458279352929,0.009389163209523167
2015-04-14,22.790001,22.959999,22.620001,22.92,22.04912,3515900,3.0932726917994056,3.132009891846539,0.005688073504396485,0.5688073504396485,0.012014828093813639
2015-04-15,23.059999,23.43,22.9,22.9,22.029884,5687900,3.0923998952534073,3.131136910560194,-0.0008727965459982556,-0.08727965459982556,0.019266544304171396
2015-04-16,22.870001,23.219999,22.719999,23.190001,22.308863,3853300,3.104984043452337,3.1437211943894745,0.012584148198929501,1.2584148198929501,0.015377317676075829
2015-04-17,23.02,23.120001,22.74,22.809999,21.943302,2722100,3.088461944890255,3.1271989924558747,-0.016522098562081755,-1.6522098562081755,0.013118507319546412
2015-04-20,22.879999,23.299999,22.84,23.08,22.203041,3435700,3.1002292614790408,3.138966441639899,0.011767316588785715,1.1767316588785715,0.01584435831517805
2015-04-21,23.190001,23.5,23.110001,23.389999,22.501263,3163000,3.113571440968291,3.1523085378427735,0.013342179489250316,1.3342179489250316,0.01305509660625636
2015-04-22,23.379999,23.629999,23.370001,23.49,22.597464,4320100,3.1178376875925786,3.1565747986708215,0.00426624662428754,0.42662466242875396,0.008786685778840028
2015-04-23,23.389999,23.889999,23.379999,23.75,22.847584,3507300,3.128845378708506,3.1675825304806504,0.011007691115927365,1.1007691115927365,0.014612349485887004
2015-04-24,23.93,24.030001,23.799999,23.940001,23.030365,4273400,3.13681356259975,3.1755507419009206,0.007968183891243985,0.7968183891243985,0.009387504466048932
